#At time x process y state arr w total z remain y wait k
At time 2 process 1 started arr 1 total 23 remain 23 wait 1
At time 3 process 1 Stopped arr 1 total 23 remain 22 wait 1
At time 3 process 1 Resumed arr 1 total 23 remain 22 wait 1
At time 4 process 1 Stopped arr 1 total 23 remain 21 wait 1
At time 4 process 1 Resumed arr 1 total 23 remain 21 wait 1
At time 5 process 1 Stopped arr 1 total 23 remain 20 wait 1
At time 5 process 1 Resumed arr 1 total 23 remain 20 wait 1
At time 6 process 1 Stopped arr 1 total 23 remain 19 wait 1
At time 6 process 1 Resumed arr 1 total 23 remain 19 wait 1
At time 7 process 1 Stopped arr 1 total 23 remain 18 wait 1
At time 7 process 1 Resumed arr 1 total 23 remain 18 wait 1
At time 8 process 1 Stopped arr 1 total 23 remain 17 wait 1
At time 8 process 1 Resumed arr 1 total 23 remain 17 wait 1
At time 9 process 1 Stopped arr 1 total 23 remain 16 wait 1
At time 9 process 1 Resumed arr 1 total 23 remain 16 wait 1
At time 10 process 1 Stopped arr 1 total 23 remain 15 wait 1
At time 10 process 1 Resumed arr 1 total 23 remain 15 wait 1
At time 11 process 1 Stopped arr 1 total 23 remain 14 wait 1
At time 11 process 1 Resumed arr 1 total 23 remain 14 wait 1
At time 12 process 1 Stopped arr 1 total 23 remain 13 wait 1
At time 12 process 2 started arr 11 total 26 remain 26 wait 1
At time 13 process 2 Stopped arr 11 total 26 remain 25 wait 1
At time 13 process 1 Resumed arr 1 total 23 remain 13 wait 2
At time 14 process 1 Stopped arr 1 total 23 remain 12 wait 2
At time 14 process 2 Resumed arr 11 total 26 remain 25 wait 2
At time 15 process 2 Stopped arr 11 total 26 remain 24 wait 2
At time 15 process 1 Resumed arr 1 total 23 remain 12 wait 3
At time 16 process 1 Stopped arr 1 total 23 remain 11 wait 3
At time 16 process 2 Resumed arr 11 total 26 remain 24 wait 3
At time 17 process 2 Stopped arr 11 total 26 remain 23 wait 3
At time 17 process 3 started arr 15 total 6 remain 6 wait 2
At time 18 process 3 Stopped arr 15 total 6 remain 5 wait 2
At time 18 process 1 Resumed arr 1 total 23 remain 11 wait 5
At time 19 process 1 Stopped arr 1 total 23 remain 10 wait 5
At time 19 process 2 Resumed arr 11 total 26 remain 23 wait 5
At time 20 process 2 Stopped arr 11 total 26 remain 22 wait 5
At time 20 process 3 Resumed arr 15 total 6 remain 5 wait 4
At time 21 process 3 Stopped arr 15 total 6 remain 4 wait 4
At time 21 process 1 Resumed arr 1 total 23 remain 10 wait 7
At time 22 process 1 Stopped arr 1 total 23 remain 9 wait 7
At time 22 process 2 Resumed arr 11 total 26 remain 22 wait 7
At time 23 process 2 Stopped arr 11 total 26 remain 21 wait 7
At time 23 process 3 Resumed arr 15 total 6 remain 4 wait 6
At time 24 process 3 Stopped arr 15 total 6 remain 3 wait 6
At time 24 process 1 Resumed arr 1 total 23 remain 9 wait 9
At time 25 process 1 Stopped arr 1 total 23 remain 8 wait 9
At time 25 process 2 Resumed arr 11 total 26 remain 21 wait 9
At time 26 process 2 Stopped arr 11 total 26 remain 20 wait 9
At time 26 process 3 Resumed arr 15 total 6 remain 3 wait 8
At time 27 process 3 Stopped arr 15 total 6 remain 2 wait 8
At time 27 process 1 Resumed arr 1 total 23 remain 8 wait 11
At time 28 process 1 Stopped arr 1 total 23 remain 7 wait 11
At time 28 process 2 Resumed arr 11 total 26 remain 20 wait 11
At time 29 process 2 Stopped arr 11 total 26 remain 19 wait 11
At time 29 process 3 Resumed arr 15 total 6 remain 2 wait 10
At time 30 process 3 Stopped arr 15 total 6 remain 1 wait 10
At time 30 process 1 Resumed arr 1 total 23 remain 7 wait 13
At time 31 process 1 Stopped arr 1 total 23 remain 6 wait 13
At time 31 process 2 Resumed arr 11 total 26 remain 19 wait 13
At time 32 process 2 Stopped arr 11 total 26 remain 18 wait 13
At time 32 process 3 Resumed arr 15 total 6 remain 1 wait 12
At time 33 process 3 Finished arr 15 total 6 remain 0 wait 12  TA 18  WTA 3.00
At time 33 process 1 Resumed arr 1 total 23 remain 6 wait 15
At time 34 process 1 Stopped arr 1 total 23 remain 5 wait 15
At time 34 process 2 Resumed arr 11 total 26 remain 18 wait 15
At time 35 process 2 Stopped arr 11 total 26 remain 17 wait 15
At time 35 process 1 Resumed arr 1 total 23 remain 5 wait 16
At time 36 process 1 Stopped arr 1 total 23 remain 4 wait 16
At time 36 process 2 Resumed arr 11 total 26 remain 17 wait 16
At time 37 process 2 Stopped arr 11 total 26 remain 16 wait 16
At time 37 process 1 Resumed arr 1 total 23 remain 4 wait 17
At time 38 process 1 Stopped arr 1 total 23 remain 3 wait 17
At time 38 process 2 Resumed arr 11 total 26 remain 16 wait 17
At time 39 process 2 Stopped arr 11 total 26 remain 15 wait 17
At time 39 process 1 Resumed arr 1 total 23 remain 3 wait 18
